Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years
REG100747,01-04-2022,2022,Uttar Pradesh,Lucknow (UP-32),2W,Scooter,Suzuki,EV,BS6,0,2,2
REG100748,19-07-2019,2019,Madhya Pradesh,Gwalior (MP-07),LCV,Mini Truck,Force Motors,Diesel,BS6,0,9,5
REG100749,29-01-2024,2024,Punjab,Jalandhar (PB-08),4W,MUV,MG,CNG,BS6,1968,7,0
REG100750,01-02-2024,2024,West Bengal,Asansol (WB-39),OTH,Road Roller,John Deere,Petrol,BS6,3760,52,0
REG100751,24-06-2023,2023,Maharashtra,Pune (MH-12),LCV,Pickup Van,Eicher,Diesel,BS6,0,9,1
REG100752,01-05-2023,2023,Uttar Pradesh,Agra (UP-80),OTH,Crane,John Deere,Diesel,BS6,5660,52,1
REG100753,20-01-2018,2018,Karnataka,Bangalore Central (KA-01),LCV,Mini Truck,Ashok Leyland,Diesel,BS4,0,15,6
REG100754,12-01-2023,2023,Uttar Pradesh,Allahabad (UP-70),3W,E-Rickshaw,TVS,CNG,BS6,250,6,1
REG100755,22-06-2023,2023,Punjab,Jalandhar (PB-08),2W,Motorcycle,KTM,Petrol,BS6,350,2,1
REG100756,08-02-2020,2020,Telangana,Nizamabad (TS-05),2W,Scooter,Yamaha,EV,BS6,0,2,4
REG100757,17-02-2023,2023,Delhi,Delhi West (DL-08),2W,Scooter,Ola Electric,Petrol,BS6,0,2,1
REG100758,27-06-2022,2022,Karnataka,Belgaum (KA-22),2W,Motorcycle,Ola Electric,EV,BS6,0,2,2
REG100759,01-08-2022,2022,Madhya Pradesh,Gwalior (MP-07),3W,E-Rickshaw,Mahindra,EV,BS6,0,6,2
REG100760,06-04-2023,2023,Punjab,Patiala (PB-11),3W,Tempo,Piaggio,CNG,BS6,0,3,1
REG100761,16-10-2024,2024,Madhya Pradesh,Jabalpur (MP-20),2W,Moped,Ather,EV,BS6,0,2,0
REG100762,03-06-2023,2023,Telangana,Warangal (TS-03),2W,Motorcycle,Bajaj,Petrol,BS6,250,2,1
REG100763,27-11-2021,2021,Uttar Pradesh,Agra (UP-80),LCV,Mini Truck,Mahindra,Diesel,BS6,2956,12,3
REG100764,07-06-2020,2020,Madhya Pradesh,Ujjain (MP-13),2W,Motorcycle,Honda,Petrol,BS6,350,2,4
REG100765,15-01-2020,2020,West Bengal,Asansol (WB-39),OTH,Crane,Mahindra,Diesel,BS6,5660,32,4
REG100766,10-06-2018,2018,Madhya Pradesh,Ujjain (MP-13),2W,Motorcycle,KTM,Petrol,BS4,0,2,6
REG100767,23-07-2023,2023,Gujarat,Ahmedabad (GJ-01),LCV,Pickup Van,Ashok Leyland,CNG,BS6,2956,9,1
REG100768,26-09-2023,2023,Karnataka,Belgaum (KA-22),4W,Hatchback,Renault,EV,BS4,0,8,1
REG100769,01-05-2023,2023,Karnataka,Mysore (KA-09),4W,SUV,Toyota,CNG,BS6,1968,6,1
REG100770,29-01-2020,2020,Tamil Nadu,Chennai Central (TN-01),2W,Scooter,KTM,Petrol,BS6,350,2,4
REG100771,07-05-2022,2022,Telangana,Nizamabad (TS-05),4W,Hatchback,Toyota,Diesel,BS6,1498,6,2
REG100772,18-01-2024,2024,Rajasthan,Udaipur (RJ-27),4W,SUV,Maruti Suzuki,EV,BS6,0,6,0
REG100773,15-08-2019,2019,Gujarat,Gandhinagar (GJ-18),2W,Moped,Yamaha,CNG,BS4,250,2,5
REG100774,30-04-2024,2024,Maharashtra,Nashik (MH-15),HCV,Trailer,Volvo,Diesel,BS6,5660,2,0
REG100775,08-09-2024,2024,Tamil Nadu,Salem (TN-30),4W,MUV,Maruti Suzuki,Petrol,BS6,2179,8,0
REG100776,30-06-2021,2021,Rajasthan,Udaipur (RJ-27),LCV,Mini Truck,Mahindra,CNG,BS6,0,15,3
REG100777,05-04-2018,2018,Kerala,Kollam (KL-02),4W,MUV,Maruti Suzuki,Hybrid,BS4,2179,6,6
REG100778,08-05-2019,2019,Maharashtra,Nashik (MH-15),2W,Scooter,Yamaha,EV,BS4,0,2,5
REG100779,10-03-2022,2022,Kerala,Kochi (KL-07),LCV,Light Bus,Force Motors,Diesel,BS6,3298,9,2
REG100780,21-07-2021,2021,Madhya Pradesh,Ujjain (MP-13),4W,SUV,Mahindra,Petrol,BS6,1968,6,3
REG100781,27-03-2020,2020,Maharashtra,Mumbai Central (MH-01),HCV,Bus,Tata Motors,Diesel,BS4,3760,45,4
REG100782,01-03-2020,2020,Punjab,Jalandhar (PB-08),4W,Sedan,Hyundai,Diesel,BS6,800,8,4
REG100783,27-05-2024,2024,West Bengal,Siliguri (WB-73),2W,Moped,Bajaj,Petrol,BS6,350,2,0
REG100784,12-12-2024,2024,Uttar Pradesh,Kanpur (UP-78),2W,Motorcycle,Ola Electric,Petrol,BS6,150,2,0
REG100785,12-11-2024,2024,Uttar Pradesh,Kanpur (UP-78),2W,Motorcycle,Hero,Petrol,BS6,350,2,0
REG100786,21-12-2022,2022,Delhi,Delhi West (DL-08),4W,MUV,Hyundai,Petrol,BS6,1968,6,2
REG100787,20-06-2022,2022,Kerala,Thrissur (KL-08),4W,SUV,Hyundai,Petrol,BS6,1462,8,2
REG100788,04-06-2022,2022,Rajasthan,Ajmer (RJ-01),HCV,Truck,Tata Motors,Diesel,BS6,6700,32,2
REG100789,28-08-2022,2022,Tamil Nadu,Trichy (TN-45),2W,Motorcycle,Royal Enfield,Petrol,BS6,125,2,2
REG100790,07-03-2019,2019,Karnataka,Hubli (KA-25),4W,MUV,Tata Motors,Petrol,BS4,2179,7,5
REG100791,22-09-2023,2023,Kerala,Kozhikode (KL-11),HCV,Trailer,Volvo,Diesel,BS6,5660,45,1
REG100792,21-11-2024,2024,Tamil Nadu,Madurai (TN-58),4W,MUV,Tata Motors,CNG,BS6,2179,5,0
REG100793,28-08-2021,2021,Delhi,Delhi East (DL-02),2W,Motorcycle,Hero,EV,BS6,0,2,3
REG100794,17-03-2022,2022,Karnataka,Mangalore (KA-19),2W,Scooter,Ather,EV,BS6,0,2,2
REG100795,16-10-2023,2023,Rajasthan,Jaipur (RJ-14),2W,Scooter,TVS,Petrol,BS6,0,2,1
REG100796,09-02-2022,2022,Delhi,Delhi South (DL-09),OTH,Tractor,Escorts,Petrol,BS6,4998,45,2
REG100797,20-07-2024,2024,Madhya Pradesh,Bhopal (MP-04),LCV,Mini Truck,Ashok Leyland,CNG,BS6,3298,15,0
REG100798,18-11-2023,2023,Karnataka,Hubli (KA-25),2W,Motorcycle,KTM,CNG,BS6,160,2,1
REG100799,19-10-2021,2021,Punjab,Chandigarh (CH-01),2W,Motorcycle,Ola Electric,EV,BS6,0,2,3
REG100800,05-11-2023,2023,Delhi,Delhi Central (DL-01),4W,SUV,Toyota,Petrol,BS6,1968,5,1
REG100801,17-07-2024,2024,Uttar Pradesh,Agra (UP-80),2W,Scooter,Honda,Petrol,BS6,250,2,0
REG100802,17-12-2023,2023,Gujarat,Surat (GJ-05),2W,Scooter,Suzuki,CNG,BS6,0,2,1
REG100803,01-09-2022,2022,Tamil Nadu,Madurai (TN-58),4W,SUV,Renault,Petrol,BS6,1498,8,2
REG100804,20-09-2022,2022,Karnataka,Mangalore (KA-19),4W,Sedan,Honda,EV,BS6,0,8,2
REG100805,12-02-2023,2023,Madhya Pradesh,Indore (MP-09),4W,Sedan,MG,Diesel,BS6,1498,8,1
REG100806,02-06-2024,2024,Uttar Pradesh,Lucknow (UP-32),LCV,Pickup Van,Ashok Leyland,Diesel,BS6,2956,15,0
REG100807,31-07-2019,2019,Uttar Pradesh,Agra (UP-80),4W,Hatchback,Maruti Suzuki,Diesel,BS4,1000,8,5
REG100808,09-01-2019,2019,Madhya Pradesh,Ujjain (MP-13),4W,SUV,Kia,CNG,BS4,1000,8,5
REG100809,09-06-2024,2024,Tamil Nadu,Coimbatore (TN-37),LCV,Mini Truck,Tata Motors,Diesel,BS6,0,15,0
REG100810,05-11-2020,2020,West Bengal,Asansol (WB-39),4W,SUV,Tata Motors,Petrol,BS4,1498,5,4
REG100811,23-08-2020,2020,Uttar Pradesh,Allahabad (UP-70),2W,Scooter,Honda,Petrol,BS6,250,2,4
REG100812,20-12-2021,2021,Madhya Pradesh,Ujjain (MP-13),4W,SUV,Skoda,CNG,BS6,1968,7,3
REG100813,14-01-2023,2023,Karnataka,Mysore (KA-09),2W,Motorcycle,Honda,Petrol,BS6,150,2,1
REG100814,26-08-2019,2019,West Bengal,Howrah (WB-13),4W,MUV,Renault,Petrol,BS6,1197,8,5
REG100815,27-10-2022,2022,Uttar Pradesh,Lucknow (UP-32),2W,Motorcycle,KTM,EV,BS6,0,2,2
REG100816,10-08-2018,2018,Delhi,Delhi West (DL-08),4W,MUV,Maruti Suzuki,Diesel,BS4,1968,8,6
REG100817,30-10-2021,2021,Kerala,Kollam (KL-02),4W,SUV,Maruti Suzuki,Diesel,BS6,2179,6,3
REG100818,28-11-2022,2022,Kerala,Thiruvananthapuram (KL-01),3W,E-Rickshaw,Atul Auto,CNG,BS6,0,6,2
REG100819,28-05-2022,2022,Karnataka,Mangalore (KA-19),4W,SUV,MG,EV,BS6,0,8,2
REG100820,03-12-2021,2021,Rajasthan,Udaipur (RJ-27),2W,Motorcycle,Ola Electric,CNG,BS6,350,2,3
REG100821,30-08-2023,2023,Tamil Nadu,Madurai (TN-58),4W,MUV,Honda,EV,BS6,0,6,1
REG100822,21-02-2020,2020,Gujarat,Ahmedabad (GJ-01),4W,Sedan,Tata Motors,Petrol,BS6,1968,8,4
REG100823,12-12-2024,2024,Gujarat,Surat (GJ-05),2W,Motorcycle,Hero,Petrol,BS6,125,2,0
REG100824,03-03-2019,2019,Tamil Nadu,Trichy (TN-45),2W,Motorcycle,Yamaha,EV,BS4,0,2,5
REG100825,17-05-2018,2018,Delhi,Delhi North (DL-04),2W,Scooter,Yamaha,Hybrid,BS4,125,2,6
REG100826,26-02-2023,2023,Kerala,Kollam (KL-02),4W,Hatchback,Maruti Suzuki,Diesel,BS6,1000,5,1
REG100827,21-03-2024,2024,Telangana,Hyderabad (TS-09),3W,Auto Rickshaw,Kinetic Green,CNG,BS6,250,7,0
REG100828,04-03-2021,2021,West Bengal,Asansol (WB-39),3W,Auto Rickshaw,Piaggio,EV,BS6,0,6,3
REG100829,17-05-2022,2022,Uttar Pradesh,Lucknow (UP-32),2W,Scooter,Yamaha,Petrol,BS6,200,2,2
REG100830,04-08-2023,2023,Kerala,Thrissur (KL-08),2W,Moped,Bajaj,Petrol,BS6,150,2,1
REG100831,16-01-2023,2023,Tamil Nadu,Salem (TN-30),2W,Scooter,KTM,EV,BS6,0,2,1
REG100832,26-03-2021,2021,Tamil Nadu,Chennai Central (TN-01),4W,Hatchback,Hyundai,Diesel,BS4,1968,5,3
REG100833,04-12-2024,2024,Uttar Pradesh,Lucknow (UP-32),4W,Sedan,Skoda,Petrol,BS6,0,7,0
REG100834,26-06-2023,2023,Uttar Pradesh,Varanasi (UP-65),LCV,Light Bus,Eicher,Diesel,BS6,2523,12,1
REG100835,15-11-2020,2020,Telangana,Khammam (TS-07),HCV,Tanker,BharatBenz,Diesel,BS6,0,45,4
REG100836,13-02-2020,2020,Kerala,Kozhikode (KL-11),LCV,Light Bus,Force Motors,EV,BS6,0,15,4
REG100837,19-09-2021,2021,Rajasthan,Udaipur (RJ-27),4W,Sedan,Renault,Diesel,BS6,0,7,3
REG100838,30-10-2024,2024,Telangana,Nizamabad (TS-05),4W,Sedan,Maruti Suzuki,Petrol,BS6,1498,6,0
REG100839,30-06-2020,2020,Gujarat,Rajkot (GJ-03),OTH,Tractor,Mahindra,Diesel,BS6,3760,1,4
REG100840,25-10-2021,2021,Madhya Pradesh,Bhopal (MP-04),2W,Moped,Hero,EV,BS6,0,2,3
REG100841,21-10-2021,2021,Kerala,Kollam (KL-02),LCV,Mini Truck,Ashok Leyland,Diesel,BS6,2956,15,3
REG100842,04-07-2022,2022,Uttar Pradesh,Allahabad (UP-70),4W,Hatchback,Toyota,Diesel,BS4,2179,5,2
REG100843,01-09-2022,2022,Tamil Nadu,Salem (TN-30),4W,Hatchback,Hyundai,Petrol,BS6,1462,8,2
REG100844,16-05-2022,2022,Karnataka,Hubli (KA-25),4W,MUV,Skoda,CNG,BS6,2179,8,2
REG100845,31-12-2022,2022,West Bengal,Siliguri (WB-73),4W,MUV,Tata Motors,Petrol,BS6,2179,6,2
REG100846,22-03-2022,2022,Kerala,Kollam (KL-02),LCV,Mini Truck,Mahindra,Diesel,BS6,3298,9,2
REG100847,02-03-2018,2018,Punjab,Jalandhar (PB-08),2W,Scooter,Ola Electric,Petrol,BS4,200,2,6
REG100848,03-08-2020,2020,Gujarat,Vadodara (GJ-06),2W,Scooter,Hero,Petrol,BS6,100,2,4
REG100849,04-02-2019,2019,Gujarat,Vadodara (GJ-06),2W,Moped,KTM,Petrol,BS4,100,2,5
REG100850,07-11-2022,2022,Uttar Pradesh,Varanasi (UP-65),4W,MUV,Toyota,Diesel,BS6,1197,6,2
REG100851,07-12-2021,2021,Telangana,Karimnagar (TS-01),4W,MUV,Tata Motors,Hybrid,BS6,1968,8,3
REG100852,26-03-2021,2021,Delhi,Delhi North (DL-04),2W,Motorcycle,KTM,CNG,BS6,100,2,3
REG100853,04-10-2020,2020,Punjab,Amritsar (PB-02),4W,Hatchback,Renault,Petrol,BS6,800,6,4
REG100854,15-04-2024,2024,West Bengal,Asansol (WB-39),LCV,Mini Truck,Eicher,Diesel,BS6,2956,15,0
REG100855,09-09-2021,2021,Punjab,Jalandhar (PB-08),2W,Moped,Ola Electric,Petrol,BS6,100,2,3
REG100856,28-02-2021,2021,Rajasthan,Udaipur (RJ-27),2W,Motorcycle,Ather,Petrol,BS6,110,2,3
REG100857,28-07-2019,2019,Telangana,Warangal (TS-03),2W,Motorcycle,Royal Enfield,Hybrid,BS4,125,2,5
REG100858,20-02-2018,2018,Maharashtra,Aurangabad (MH-20),HCV,Bus,Tata Motors,CNG,BS4,5660,2,6
REG100859,27-10-2020,2020,Uttar Pradesh,Agra (UP-80),2W,Motorcycle,Hero,Petrol,BS6,150,2,4
REG100860,11-10-2019,2019,West Bengal,Asansol (WB-39),4W,MUV,Hyundai,Petrol,BS4,1968,5,5
REG100861,12-12-2022,2022,West Bengal,Kolkata (WB-01),2W,Motorcycle,Hero,Petrol,BS6,110,2,2
REG100862,22-11-2021,2021,Delhi,Delhi South (DL-09),4W,Sedan,Kia,CNG,BS6,0,6,3
REG100863,19-08-2024,2024,Tamil Nadu,Madurai (TN-58),4W,Sedan,Mahindra,Diesel,BS6,800,5,0
REG100864,19-05-2024,2024,West Bengal,Asansol (WB-39),2W,Motorcycle,Hero,Petrol,BS6,0,2,0
REG100865,24-01-2024,2024,Gujarat,Rajkot (GJ-03),OTH,Road Roller,TAFE,Diesel,BS6,4998,52,0
REG100866,10-08-2023,2023,Punjab,Chandigarh (CH-01),2W,Scooter,Honda,Petrol,BS6,150,2,1
REG100867,29-12-2023,2023,Punjab,Patiala (PB-11),HCV,Trailer,MAN,Diesel,BS6,6700,32,1
REG100868,10-03-2018,2018,Delhi,Delhi West (DL-08),2W,Scooter,Ola Electric,Petrol,BS4,100,2,6
REG100869,27-12-2022,2022,Punjab,Jalandhar (PB-08),2W,Motorcycle,TVS,Petrol,BS6,350,2,2
REG100870,16-08-2018,2018,Uttar Pradesh,Allahabad (UP-70),2W,Moped,Honda,EV,BS4,0,2,6
REG100871,05-01-2023,2023,Rajasthan,Udaipur (RJ-27),4W,SUV,Honda,Petrol,BS6,1000,8,1
REG100872,03-07-2021,2021,Rajasthan,Jodhpur (RJ-19),2W,Motorcycle,Hero,Hybrid,BS6,150,2,3
REG100873,23-05-2024,2024,Karnataka,Belgaum (KA-22),4W,Sedan,Mahindra,Diesel,BS6,2179,6,0
REG100874,13-09-2024,2024,Maharashtra,Pune (MH-12),OTH,Road Roller,Sonalika,Diesel,BS6,6700,2,0
REG100875,07-03-2019,2019,Telangana,Warangal (TS-03),4W,Sedan,Hyundai,CNG,BS4,1498,6,5
REG100876,10-05-2023,2023,Telangana,Nizamabad (TS-05),2W,Moped,Hero,CNG,BS6,400,2,1
REG100877,20-05-2024,2024,West Bengal,Kolkata (WB-01),HCV,Truck,Volvo,Diesel,BS6,3760,52,0
REG100878,30-09-2021,2021,West Bengal,Siliguri (WB-73),2W,Motorcycle,Bajaj,Petrol,BS6,350,2,3
REG100879,26-04-2023,2023,Rajasthan,Jaipur (RJ-14),2W,Scooter,Honda,EV,BS6,0,2,1
REG100880,15-01-2023,2023,Karnataka,Mysore (KA-09),2W,Scooter,Royal Enfield,Petrol,BS6,350,2,1
REG100881,24-06-2019,2019,Uttar Pradesh,Lucknow (UP-32),4W,SUV,Kia,Petrol,BS4,800,7,5
REG100882,13-02-2022,2022,Telangana,Warangal (TS-03),HCV,Tanker,Tata Motors,Diesel,BS6,3760,1,2
REG100883,29-01-2019,2019,Uttar Pradesh,Agra (UP-80),LCV,Light Bus,Tata Motors,Diesel,BS4,3298,15,5
REG100884,25-07-2018,2018,Madhya Pradesh,Jabalpur (MP-20),2W,Moped,Hero,EV,BS4,0,2,6
REG100885,08-08-2022,2022,Punjab,Jalandhar (PB-08),2W,Moped,Ola Electric,Petrol,BS6,0,2,2
REG100886,09-04-2022,2022,Punjab,Chandigarh (CH-01),2W,Moped,Hero,EV,BS6,0,2,2
REG100887,22-11-2024,2024,Karnataka,Bangalore Central (KA-01),4W,Hatchback,Skoda,Petrol,BS6,0,7,0
REG100888,31-01-2020,2020,Rajasthan,Udaipur (RJ-27),3W,Tempo,Mahindra,CNG,BS6,225,6,4
REG100889,16-03-2022,2022,Punjab,Jalandhar (PB-08),3W,Tempo,TVS,CNG,BS6,225,6,2
REG100890,16-03-2022,2022,Gujarat,Gandhinagar (GJ-18),2W,Scooter,Hero,EV,BS6,0,2,2
REG100891,23-11-2020,2020,Delhi,Delhi South (DL-09),4W,Hatchback,Honda,Diesel,BS6,1462,5,4
REG100892,17-10-2021,2021,Rajasthan,Jodhpur (RJ-19),4W,MUV,Skoda,EV,BS6,0,7,3
REG100893,23-11-2020,2020,Uttar Pradesh,Agra (UP-80),2W,Scooter,Hero,EV,BS6,0,2,4
REG100894,12-07-2023,2023,Kerala,Kochi (KL-07),3W,Auto Rickshaw,Piaggio,Diesel,BS6,225,6,1
REG100895,29-05-2022,2022,Tamil Nadu,Chennai Central (TN-01),2W,Motorcycle,Yamaha,Petrol,BS6,350,2,2
REG100896,30-03-2020,2020,Delhi,Delhi South (DL-09),HCV,Trailer,Tata Motors,Diesel,BS6,4998,32,4
REG100897,14-05-2020,2020,Kerala,Kochi (KL-07),2W,Moped,Bajaj,Petrol,BS6,110,2,4
REG100898,09-07-2021,2021,Maharashtra,Pune (MH-12),2W,Motorcycle,Yamaha,Petrol,BS6,200,2,3
REG100899,08-04-2019,2019,Madhya Pradesh,Indore (MP-09),HCV,Tanker,MAN,Diesel,BS4,4998,52,5
REG100900,07-04-2023,2023,Uttar Pradesh,Agra (UP-80),2W,Scooter,Bajaj,Petrol,BS6,400,2,1
REG100901,07-09-2024,2024,Gujarat,Surat (GJ-05),2W,Motorcycle,Royal Enfield,Petrol,BS6,150,2,0
REG100902,18-09-2021,2021,Kerala,Thiruvananthapuram (KL-01),4W,Hatchback,Tata Motors,Diesel,BS6,1598,8,3
REG100903,11-09-2023,2023,Telangana,Karimnagar (TS-01),2W,Moped,Yamaha,EV,BS6,0,2,1
REG100904,19-08-2020,2020,Gujarat,Gandhinagar (GJ-18),2W,Moped,Hero,Petrol,BS6,150,2,4
REG100905,10-05-2024,2024,Uttar Pradesh,Kanpur (UP-78),2W,Scooter,Ola Electric,Petrol,BS6,400,2,0
REG100906,22-01-2021,2021,Karnataka,Mysore (KA-09),4W,SUV,MG,Diesel,BS6,2179,7,3
REG100907,13-01-2021,2021,Uttar Pradesh,Varanasi (UP-65),3W,E-Rickshaw,TVS,Diesel,BS6,225,6,3
REG100908,06-10-2024,2024,Delhi,Delhi West (DL-08),4W,SUV,Hyundai,Petrol,BS6,1000,7,0
REG100909,11-12-2020,2020,Delhi,Delhi Central (DL-01),2W,Scooter,Hero,EV,BS6,0,2,4
REG100910,06-10-2022,2022,Gujarat,Vadodara (GJ-06),4W,SUV,Mahindra,EV,BS6,0,5,2
REG100911,30-08-2023,2023,Gujarat,Vadodara (GJ-06),4W,MUV,Honda,CNG,BS6,0,6,1
REG100912,09-10-2020,2020,Uttar Pradesh,Kanpur (UP-78),2W,Moped,Bajaj,EV,BS6,0,2,4
REG100913,02-08-2022,2022,Kerala,Thrissur (KL-08),2W,Motorcycle,Yamaha,Petrol,BS6,150,2,2
REG100914,06-06-2022,2022,West Bengal,Siliguri (WB-73),LCV,Mini Truck,Ashok Leyland,Diesel,BS6,2523,12,2
REG100915,20-12-2023,2023,Madhya Pradesh,Gwalior (MP-07),2W,Scooter,Suzuki,CNG,BS6,400,2,1
REG100916,17-10-2024,2024,Gujarat,Vadodara (GJ-06),4W,Hatchback,Tata Motors,Petrol,BS6,1968,8,0
REG100917,20-08-2019,2019,Delhi,Delhi North (DL-04),2W,Scooter,Bajaj,EV,BS4,0,2,5
REG100918,08-09-2023,2023,Karnataka,Mysore (KA-09),2W,Moped,TVS,Petrol,BS6,100,2,1
REG100919,25-09-2020,2020,Tamil Nadu,Coimbatore (TN-37),2W,Scooter,Royal Enfield,Petrol,BS6,110,2,4
REG100920,19-07-2024,2024,West Bengal,Kolkata (WB-01),2W,Motorcycle,TVS,Petrol,BS6,125,2,0
REG100921,07-03-2024,2024,Karnataka,Mysore (KA-09),4W,MUV,Hyundai,Diesel,BS6,1462,7,0
REG100922,16-12-2020,2020,Uttar Pradesh,Varanasi (UP-65),2W,Moped,Royal Enfield,EV,BS4,0,2,4
REG100923,07-05-2023,2023,Gujarat,Surat (GJ-05),2W,Motorcycle,KTM,Petrol,BS6,400,2,1
REG100924,28-05-2018,2018,Rajasthan,Ajmer (RJ-01),LCV,Pickup Van,Force Motors,CNG,BS4,0,12,6
REG100925,09-08-2020,2020,Kerala,Kozhikode (KL-11),2W,Motorcycle,Suzuki,Petrol,BS6,350,2,4
REG100926,21-03-2024,2024,Uttar Pradesh,Kanpur (UP-78),4W,Hatchback,Honda,EV,BS6,0,7,0
REG100927,03-03-2024,2024,Madhya Pradesh,Bhopal (MP-04),4W,Sedan,MG,Diesel,BS6,1598,5,0
REG100928,16-09-2020,2020,Karnataka,Belgaum (KA-22),4W,SUV,Honda,Diesel,BS6,800,8,4
REG100929,23-07-2023,2023,Maharashtra,Mumbai Central (MH-01),4W,MUV,Honda,Diesel,BS6,800,5,1
REG100930,25-08-2023,2023,Gujarat,Ahmedabad (GJ-01),4W,Sedan,Toyota,EV,BS6,0,5,1
REG100931,29-03-2023,2023,Telangana,Warangal (TS-03),4W,MUV,Tata Motors,Diesel,BS6,800,5,1
REG100932,06-01-2019,2019,Tamil Nadu,Madurai (TN-58),2W,Moped,Suzuki,Petrol,BS6,160,2,5
REG100933,23-12-2022,2022,Tamil Nadu,Salem (TN-30),2W,Motorcycle,Hero,CNG,BS6,100,2,2
REG100934,03-11-2021,2021,Madhya Pradesh,Ujjain (MP-13),4W,Hatchback,Honda,EV,BS6,0,5,3
REG100935,15-01-2019,2019,Uttar Pradesh,Kanpur (UP-78),HCV,Trailer,Ashok Leyland,Diesel,BS4,3760,32,5
REG100936,19-09-2020,2020,Delhi,Delhi Central (DL-01),2W,Motorcycle,TVS,CNG,BS6,110,2,4
REG100937,07-08-2024,2024,Rajasthan,Kota (RJ-20),4W,Sedan,Skoda,Petrol,BS6,1000,6,0
REG100938,19-07-2023,2023,Delhi,Delhi Central (DL-01),2W,Motorcycle,Hero,Petrol,BS6,150,2,1
REG100939,30-07-2018,2018,West Bengal,Howrah (WB-13),2W,Scooter,Ola Electric,Petrol,BS4,160,2,6
REG100940,03-11-2020,2020,Punjab,Jalandhar (PB-08),OTH,Tractor,Escorts,Diesel,BS6,5660,45,4
REG100941,10-01-2022,2022,Madhya Pradesh,Indore (MP-09),2W,Moped,Yamaha,CNG,BS6,0,2,2
REG100942,30-04-2022,2022,Punjab,Jalandhar (PB-08),2W,Moped,Bajaj,EV,BS6,0,2,2
REG100943,31-01-2020,2020,Punjab,Chandigarh (CH-01),2W,Moped,Suzuki,Hybrid,BS6,125,2,4
REG100944,03-11-2023,2023,Rajasthan,Udaipur (RJ-27),2W,Motorcycle,Suzuki,Petrol,BS6,350,2,1
REG100945,28-11-2023,2023,Kerala,Kozhikode (KL-11),2W,Scooter,Hero,EV,BS6,0,2,1
REG100946,06-12-2020,2020,Maharashtra,Pune (MH-12),LCV,Pickup Van,Ashok Leyland,Diesel,BS6,2956,15,4
REG100947,04-01-2020,2020,Kerala,Kochi (KL-07),4W,MUV,Renault,Diesel,BS6,1000,8,4
REG100948,09-10-2019,2019,Karnataka,Mysore (KA-09),2W,Motorcycle,Bajaj,Petrol,BS4,150,2,5
REG100949,05-05-2020,2020,Delhi,Delhi South (DL-09),2W,Moped,KTM,Petrol,BS6,250,2,4
REG100950,19-05-2024,2024,Tamil Nadu,Trichy (TN-45),2W,Scooter,Ola Electric,EV,BS6,0,2,0
REG100951,10-08-2022,2022,Karnataka,Hubli (KA-25),2W,Motorcycle,KTM,EV,BS6,0,2,2
REG100952,31-10-2024,2024,West Bengal,Kolkata (WB-01),4W,MUV,Hyundai,Hybrid,BS6,0,6,0
REG100953,07-11-2021,2021,Telangana,Warangal (TS-03),2W,Scooter,Royal Enfield,EV,BS6,0,2,3
REG100954,07-01-2024,2024,Karnataka,Hubli (KA-25),2W,Scooter,Bajaj,Petrol,BS6,400,2,0
REG100955,07-06-2021,2021,Kerala,Kozhikode (KL-11),3W,E-Rickshaw,Mahindra,Petrol,BS6,200,6,3
REG100956,28-06-2023,2023,Maharashtra,Mumbai Central (MH-01),2W,Moped,TVS,Petrol,BS6,400,2,1
REG100957,07-05-2021,2021,Kerala,Thrissur (KL-08),4W,SUV,Maruti Suzuki,EV,BS6,0,8,3
REG100958,17-03-2022,2022,Maharashtra,Nagpur (MH-31),4W,Hatchback,Tata Motors,Petrol,BS6,1498,6,2
REG100959,31-12-2023,2023,Punjab,Patiala (PB-11),HCV,Bus,Tata Motors,Diesel,BS6,6700,45,1
REG100960,06-08-2024,2024,Kerala,Kollam (KL-02),OTH,Tractor,Escorts,Diesel,BS6,5660,32,0
REG100961,15-02-2023,2023,Telangana,Khammam (TS-07),4W,MUV,Skoda,Petrol,BS6,1000,7,1
REG100962,01-01-2024,2024,Tamil Nadu,Madurai (TN-58),4W,MUV,Kia,Petrol,BS6,1000,5,0
REG100963,11-07-2022,2022,Kerala,Thrissur (KL-08),3W,Tempo,TVS,Petrol,BS6,225,7,2
REG100964,06-04-2022,2022,Tamil Nadu,Coimbatore (TN-37),3W,Tempo,Bajaj,Diesel,BS6,225,3,2
REG100965,25-02-2022,2022,Kerala,Kochi (KL-07),4W,Sedan,Kia,Diesel,BS6,1197,5,2
REG100966,02-09-2018,2018,Gujarat,Ahmedabad (GJ-01),2W,Scooter,Honda,Petrol,BS4,350,2,6
REG100967,19-02-2022,2022,Madhya Pradesh,Bhopal (MP-04),2W,Scooter,Hero,CNG,BS6,150,2,2
REG100968,06-11-2022,2022,Telangana,Hyderabad (TS-09),2W,Moped,Royal Enfield,EV,BS6,0,2,2
REG100969,23-07-2024,2024,Rajasthan,Kota (RJ-20),4W,SUV,Toyota,Petrol,BS6,1968,5,0
REG100970,14-01-2021,2021,Rajasthan,Kota (RJ-20),4W,Hatchback,MG,EV,BS6,0,7,3
