Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years,CFAR_Category_Adoption_Rate_%,FMI_Fleet_Modernization_Index_%,Is_Transitional_BS4_2020
KL-01-GO-9598,2021-06-12,2021,Kerala,Thiruvananthapuram (KL-01),HCV,Tanker,BharatBenz,Diesel,BS6,5660.0,2,3,0.0,84.0,0
WB-13-HO-9615,2022-03-21,2022,West Bengal,Howrah (WB-13),4W,SUV,Hyundai,Petrol,BS6,2179.0,7,2,23.66,84.95,0
MP-09-IO-9632,2021-08-09,2021,Madhya Pradesh,Indore (MP-09),2W,Motorcycle,Ola Electric,EV,Not Applicable,0.0,2,3,40.43,85.11,0
DL-01-JO-9649,2020-02-12,2020,Delhi,Delhi Central (DL-01),2W,Motorcycle,Suzuki,Petrol,BS4,125.0,2,4,39.39,90.3,1
KA-25-KO-9666,2022-05-13,2022,Karnataka,Hubli (KA-25),2W,Motorcycle,KTM,Petrol,BS6,125.0,2,2,49.39,91.46,0
MH-01-LO-9683,2021-06-28,2021,Maharashtra,Mumbai Central (MH-01),LCV,Pickup Van,Ashok Leyland,EV,Not Applicable,0.0,2,3,22.58,90.32,0
WB-39-MO-9700,2024-07-18,2024,West Bengal,Asansol (WB-39),4W,Sedan,Honda,Diesel,BS6,800.0,5,0,23.66,84.95,0
KA-22-NO-9717,2020-03-16,2020,Karnataka,Belgaum (KA-22),4W,SUV,Toyota,Petrol,BS4,2179.0,7,4,25.89,89.29,1
KA-19-OO-9734,2024-11-20,2024,Karnataka,Mangalore (KA-19),2W,Moped,Hero,EV,Not Applicable,0.0,2,0,49.39,91.46,0
MP-13-PO-9751,2023-03-27,2023,Madhya Pradesh,Ujjain (MP-13),2W,Motorcycle,Bajaj,Petrol,BS6,150.0,2,1,40.43,85.11,0
UP-78-QO-9768,2021-01-09,2021,Uttar Pradesh,Kanpur (UP-78),2W,Motorcycle,Ola Electric,EV,Not Applicable,0.0,2,3,47.06,91.91,0
GJ-18-RO-9785,2024-07-29,2024,Gujarat,Gandhinagar (GJ-18),4W,SUV,MG,EV,Not Applicable,0.0,5,0,35.37,95.12,0
TS-01-SO-9802,2022-04-01,2022,Telangana,Karimnagar (TS-01),3W,E-Rickshaw,Bajaj,EV,Not Applicable,0.0,4,2,81.25,100.0,0
UP-65-TO-9819,2021-02-20,2021,Uttar Pradesh,Varanasi (UP-65),2W,Moped,Suzuki,EV,Not Applicable,0.0,2,3,47.06,91.91,0
KA-01-UO-9836,2023-10-06,2023,Karnataka,Bangalore Central (KA-01),4W,SUV,Hyundai,Diesel,BS6,1000.0,7,1,25.89,89.29,0
TS-07-VO-9853,2020-10-09,2020,Telangana,Khammam (TS-07),4W,SUV,Honda,Petrol,BS6,1968.0,5,4,25.47,92.45,0
DL-04-WO-9870,2024-12-26,2024,Delhi,Delhi North (DL-04),HCV,Trailer,BharatBenz,Diesel,BS6,6700.0,2,0,0.0,68.75,0
RJ-19-XO-9887,2021-12-11,2021,Rajasthan,Jodhpur (RJ-19),3W,E-Rickshaw,Kinetic Green,EV,Not Applicable,0.0,4,3,85.19,100.0,0
UP-32-YO-9904,2023-06-12,2023,Uttar Pradesh,Lucknow (UP-32),2W,Motorcycle,Yamaha,EV,Not Applicable,0.0,2,1,47.06,91.91,0
TN-45-ZO-9921,2020-07-20,2020,Tamil Nadu,Trichy (TN-45),OTH,Tractor,Escorts,Diesel,BS6,3760.0,2,4,0.0,83.33,0
UP-78-AP-9938,2021-09-22,2021,Uttar Pradesh,Kanpur (UP-78),HCV,Tanker,MAN,Diesel,BS6,4998.0,2,3,0.0,85.71,0
DL-01-BP-9955,2023-11-18,2023,Delhi,Delhi Central (DL-01),4W,Sedan,Renault,Petrol,BS6,1498.0,5,1,22.58,88.17,0
RJ-19-CP-9972,2023-03-20,2023,Rajasthan,Jodhpur (RJ-19),2W,Motorcycle,Suzuki,Petrol,BS6,100.0,2,1,48.41,92.86,0
PB-11-DP-9989,2018-03-08,2018,Punjab,Patiala (PB-11),HCV,Truck,Eicher,Diesel,BS4,6700.0,2,6,0.0,68.0,0
TN-37-EP-1006,2022-07-13,2022,Tamil Nadu,Coimbatore (TN-37),4W,SUV,Kia,Petrol,BS6,1498.0,5,2,26.26,91.92,0
GJ-01-FP-1023,2024-08-23,2024,Gujarat,Ahmedabad (GJ-01),HCV,Truck,MAN,Diesel,BS6,5660.0,2,0,0.0,100.0,0
KA-09-GP-1040,2022-04-18,2022,Karnataka,Mysore (KA-09),2W,Motorcycle,Honda,Petrol,BS6,250.0,2,2,49.39,91.46,0
KA-19-HP-1057,2024-04-17,2024,Karnataka,Mangalore (KA-19),4W,SUV,Hyundai,Diesel,BS6,1968.0,7,0,25.89,89.29,0
RJ-27-IP-1074,2024-10-17,2024,Rajasthan,Udaipur (RJ-27),4W,SUV,Kia,Petrol,BS6,800.0,5,0,26.0,89.0,0
RJ-20-JP-1091,2018-05-11,2018,Rajasthan,Kota (RJ-20),3W,Tempo,Atul Auto,EV,Not Applicable,0.0,4,6,85.19,100.0,0
CH-01-KP-1108,2019-01-16,2019,Chandigarh,Chandigarh (CH-01),4W,SUV,Mahindra,Diesel,BS4,1598.0,5,5,12.5,83.33,0
DL-01-LP-1125,2022-06-28,2022,Delhi,Delhi Central (DL-01),4W,SUV,Kia,Petrol,BS6,1462.0,5,2,22.58,88.17,0
WB-73-MP-1142,2020-05-23,2020,West Bengal,Siliguri (WB-73),2W,Scooter,Bajaj,Petrol,BS6,250.0,2,4,39.16,92.31,0
KA-22-NP-1159,2024-08-09,2024,Karnataka,Belgaum (KA-22),4W,SUV,Tata Motors,Petrol,BS6,2179.0,7,0,25.89,89.29,0
PB-02-OP-1176,2022-06-30,2022,Punjab,Amritsar (PB-02),4W,Hatchback,Skoda,Diesel,BS6,1598.0,5,2,28.17,87.32,0
WB-13-PP-1193,2021-11-27,2021,West Bengal,Howrah (WB-13),LCV,Light Bus,Ashok Leyland,CNG,BS6,3298.0,12,3,39.13,86.96,0
MH-01-QP-1210,2021-04-21,2021,Maharashtra,Mumbai Central (MH-01),2W,Scooter,Suzuki,Petrol,BS6,200.0,2,3,50.93,95.37,0
RJ-19-RP-1227,2023-06-19,2023,Rajasthan,Jodhpur (RJ-19),4W,Hatchback,Maruti Suzuki,Diesel,BS6,1462.0,5,1,26.0,89.0,0
PB-02-SP-1244,2021-09-27,2021,Punjab,Amritsar (PB-02),LCV,Light Bus,Tata Motors,Diesel,BS6,2956.0,15,3,22.22,88.89,0
TS-05-TP-1261,2022-08-11,2022,Telangana,Nizamabad (TS-05),4W,Hatchback,Skoda,EV,Not Applicable,0.0,5,2,25.47,92.45,0
DL-02-UP-1278,2024-03-02,2024,Delhi,Delhi East (DL-02),2W,Motorcycle,KTM,Petrol,BS6,110.0,2,0,39.39,90.3,0
WB-13-VP-1295,2018-11-26,2018,West Bengal,Howrah (WB-13),4W,MUV,Mahindra,CNG,BS4,800.0,7,6,23.66,84.95,0
GJ-05-WP-1312,2024-06-21,2024,Gujarat,Surat (GJ-05),LCV,Pickup Van,Tata Motors,Diesel,BS6,2523.0,2,0,53.33,73.33,0
WB-01-XP-1329,2021-07-24,2021,West Bengal,Kolkata (WB-01),4W,MUV,Kia,Petrol,BS6,1000.0,7,3,23.66,84.95,0
WB-39-YP-1346,2024-07-10,2024,West Bengal,Asansol (WB-39),2W,Motorcycle,KTM,EV,Not Applicable,0.0,2,0,39.16,92.31,0
KA-01-ZP-1363,2024-08-12,2024,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,TVS,Petrol,BS6,150.0,2,0,49.39,91.46,0
TN-01-AQ-1380,2024-05-13,2024,Tamil Nadu,Chennai Central (TN-01),2W,Scooter,Ather,EV,Not Applicable,0.0,2,0,44.68,95.74,0
KA-01-BQ-1397,2023-05-19,2023,Karnataka,Bangalore Central (KA-01),HCV,Truck,Volvo,Diesel,BS6,4998.0,2,1,0.0,96.15,0
PB-08-CQ-1414,2022-11-23,2022,Punjab,Jalandhar (PB-08),2W,Scooter,TVS,Petrol,BS6,120.5,2,2,41.51,90.57,0
MP-04-DQ-1431,2023-06-14,2023,Madhya Pradesh,Bhopal (MP-04),3W,Auto Rickshaw,Atul Auto,Diesel,BS6,225.0,4,1,79.31,89.66,0
KA-25-EQ-1448,2023-12-04,2023,Karnataka,Hubli (KA-25),4W,Hatchback,Toyota,CNG,BS6,1462.0,5,1,25.89,89.29,0
KA-19-FQ-1465,2023-09-07,2023,Karnataka,Mangalore (KA-19),2W,Motorcycle,Bajaj,EV,Not Applicable,0.0,2,1,49.39,91.46,0
RJ-19-GQ-1482,2022-09-16,2022,Rajasthan,Jodhpur (RJ-19),4W,SUV,Kia,EV,Not Applicable,0.0,7,2,26.0,89.0,0
DL-08-HQ-1499,2022-04-06,2022,Delhi,Delhi West (DL-08),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,2,39.39,90.3,0
GJ-03-IQ-1516,2022-02-24,2022,Gujarat,Rajkot (GJ-03),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,2,41.43,92.86,0
DL-01-JQ-1533,2022-08-20,2022,Delhi,Delhi Central (DL-01),LCV,Mini Truck,Ashok Leyland,Diesel,BS6,3298.0,2,2,30.77,92.31,0
KA-22-KQ-1550,2021-09-18,2021,Karnataka,Belgaum (KA-22),2W,Scooter,Bajaj,Petrol,BS6,200.0,2,3,49.39,91.46,0
MH-15-LQ-1567,2021-04-10,2021,Maharashtra,Nashik (MH-15),2W,Motorcycle,Hero,EV,Not Applicable,0.0,2,3,50.93,95.37,0
DL-04-MQ-1584,2022-02-25,2022,Delhi,Delhi North (DL-04),2W,Scooter,Ather,EV,Not Applicable,0.0,2,2,39.39,90.3,0
MP-09-NQ-1601,2024-05-16,2024,Madhya Pradesh,Indore (MP-09),HCV,Bus,Tata Motors,Diesel,BS6,4998.0,32,0,4.76,85.71,0
TS-09-OQ-1618,2021-12-21,2021,Telangana,Hyderabad (TS-09),2W,Scooter,Suzuki,Petrol,BS6,104.4,2,3,40.8,92.8,0
WB-13-PQ-1635,2021-05-28,2021,West Bengal,Howrah (WB-13),2W,Motorcycle,Yamaha,EV,Not Applicable,0.0,2,3,39.16,92.31,0
KA-09-QQ-1652,2023-05-03,2023,Karnataka,Mysore (KA-09),3W,Tempo,Atul Auto,Diesel,BS6,225.0,4,1,68.42,94.74,0
MP-04-RQ-1669,2024-08-30,2024,Madhya Pradesh,Bhopal (MP-04),2W,Motorcycle,KTM,Petrol,BS6,250.0,2,0,40.43,85.11,0
RJ-14-SQ-1686,2023-11-01,2023,Rajasthan,Jaipur (RJ-14),2W,Scooter,Honda,Petrol,BS6,200.0,2,1,48.41,92.86,0
WB-39-TQ-1703,2018-10-18,2018,West Bengal,Asansol (WB-39),2W,Motorcycle,KTM,Petrol,BS4,160.0,2,6,39.16,92.31,0
DL-09-UQ-1720,2021-06-21,2021,Delhi,Delhi South (DL-09),3W,Auto Rickshaw,Bajaj,CNG,BS6,225.0,4,3,89.47,94.74,0
KL-11-VQ-1737,2021-06-30,2021,Kerala,Kozhikode (KL-11),OTH,Tractor,Sonalika,Diesel,BS6,5660.0,2,3,0.0,62.5,0
TS-07-WQ-1754,2023-03-17,2023,Telangana,Khammam (TS-07),3W,E-Rickshaw,Kinetic Green,EV,Not Applicable,0.0,4,1,81.25,100.0,0
MP-09-XQ-1771,2023-07-04,2023,Madhya Pradesh,Indore (MP-09),2W,Motorcycle,Bajaj,EV,Not Applicable,0.0,2,1,40.43,85.11,0
KL-01-YQ-1788,2024-10-05,2024,Kerala,Thiruvananthapuram (KL-01),2W,Scooter,Honda,Petrol,BS6,122.2,2,0,44.63,96.69,0
TS-03-ZQ-1805,2021-05-22,2021,Telangana,Warangal (TS-03),2W,Moped,Yamaha,Petrol,BS6,92.0,2,3,40.8,92.8,0
DL-01-AR-1822,2022-10-18,2022,Delhi,Delhi Central (DL-01),4W,SUV,Skoda,Petrol,BS6,1598.0,7,2,22.58,88.17,0
KA-01-BR-1839,2023-05-29,2023,Karnataka,Bangalore Central (KA-01),3W,Tempo,Piaggio,Diesel,BS6,225.0,4,1,68.42,94.74,0
WB-40-CR-1856,2018-10-31,2018,West Bengal,Durgapur (WB-40),2W,Scooter,Hero,EV,Not Applicable,0.0,2,6,39.16,92.31,0
MH-15-DR-1873,2023-05-09,2023,Maharashtra,Nashik (MH-15),2W,Scooter,Yamaha,EV,Not Applicable,0.0,2,1,50.93,95.37,0
RJ-20-ER-1890,2021-04-12,2021,Rajasthan,Kota (RJ-20),4W,Sedan,Hyundai,EV,Not Applicable,0.0,5,3,26.0,89.0,0
GJ-05-FR-1907,2023-07-24,2023,Gujarat,Surat (GJ-05),2W,Scooter,Bajaj,Petrol,BS6,110.0,2,1,41.43,92.86,0
GJ-06-GR-1924,2023-10-24,2023,Gujarat,Vadodara (GJ-06),4W,Sedan,Skoda,Diesel,BS6,1197.0,5,1,35.37,95.12,0
GJ-05-HR-1941,2019-11-18,2019,Gujarat,Surat (GJ-05),2W,Motorcycle,Royal Enfield,Petrol,BS4,350.0,2,5,41.43,92.86,0
TS-03-IR-1958,2022-06-10,2022,Telangana,Warangal (TS-03),2W,Scooter,Honda,Petrol,BS6,114.0,2,2,40.8,92.8,0
MP-07-JR-1975,2024-01-15,2024,Madhya Pradesh,Gwalior (MP-07),3W,E-Rickshaw,Mahindra,EV,Not Applicable,0.0,4,0,79.31,89.66,0
KA-09-KR-1992,2022-11-14,2022,Karnataka,Mysore (KA-09),4W,SUV,Mahindra,CNG,BS6,1462.0,7,2,25.89,89.29,0
MH-15-LR-2009,2023-08-24,2023,Maharashtra,Nashik (MH-15),2W,Moped,Hero,EV,Not Applicable,0.0,2,1,50.93,95.37,0
KA-01-MR-2026,2022-10-17,2022,Karnataka,Bangalore Central (KA-01),2W,Scooter,Honda,Petrol,BS6,87.2,2,2,49.39,91.46,0
KL-11-NR-2043,2022-01-28,2022,Kerala,Kozhikode (KL-11),LCV,Mini Truck,Eicher,CNG,BS6,2956.0,2,2,32.35,94.12,0
TN-45-OR-2060,2024-03-20,2024,Tamil Nadu,Trichy (TN-45),4W,MUV,Tata Motors,Petrol,BS6,1498.0,7,0,26.26,91.92,0
KL-01-PR-2077,2018-03-03,2018,Kerala,Thiruvananthapuram (KL-01),4W,Sedan,Hyundai,Petrol,BS4,1462.0,5,6,24.55,90.0,0
DL-02-QR-2094,2021-06-03,2021,Delhi,Delhi East (DL-02),2W,Scooter,Ather,EV,Not Applicable,0.0,2,3,39.39,90.3,0
WB-13-RR-2111,2022-11-12,2022,West Bengal,Howrah (WB-13),4W,SUV,Skoda,EV,Not Applicable,0.0,7,2,23.66,84.95,0
TN-01-SR-2128,2022-10-07,2022,Tamil Nadu,Chennai Central (TN-01),2W,Moped,Bajaj,Petrol,BS6,99.1,2,2,44.68,95.74,0
WB-73-TR-2145,2022-05-21,2022,West Bengal,Siliguri (WB-73),2W,Scooter,Honda,EV,Not Applicable,0.0,2,2,39.16,92.31,0
UP-32-UR-2162,2021-10-16,2021,Uttar Pradesh,Lucknow (UP-32),3W,E-Rickshaw,Piaggio,EV,Not Applicable,0.0,4,3,85.71,85.71,0
PB-02-VR-2179,2022-03-14,2022,Punjab,Amritsar (PB-02),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,2,41.51,90.57,0
KL-08-WR-2196,2024-04-17,2024,Kerala,Thrissur (KL-08),2W,Motorcycle,Yamaha,EV,Not Applicable,0.0,2,0,44.63,96.69,0
KL-02-XR-2213,2020-10-15,2020,Kerala,Kollam (KL-02),2W,Motorcycle,TVS,EV,Not Applicable,0.0,2,4,44.63,96.69,0
WB-13-YR-2230,2019-09-05,2019,West Bengal,Howrah (WB-13),2W,Motorcycle,Royal Enfield,Petrol,BS4,105.0,2,5,39.16,92.31,0
WB-39-ZR-2247,2021-06-28,2021,West Bengal,Asansol (WB-39),4W,SUV,Tata Motors,EV,Not Applicable,0.0,5,3,23.66,84.95,0
MH-01-AS-2264,2023-12-14,2023,Maharashtra,Mumbai Central (MH-01),LCV,Mini Truck,Mahindra,Diesel,BS6,2956.0,2,1,22.58,90.32,0
DL-02-BS-2281,2024-02-01,2024,Delhi,Delhi East (DL-02),2W,Motorcycle,Suzuki,Petrol,BS6,160.0,2,0,39.39,90.3,0
GJ-01-CS-2298,2023-11-20,2023,Gujarat,Ahmedabad (GJ-01),2W,Scooter,Honda,EV,Not Applicable,0.0,2,1,41.43,92.86,0
TN-58-DS-2315,2024-10-11,2024,Tamil Nadu,Madurai (TN-58),2W,Scooter,Suzuki,Petrol,BS6,150.0,2,0,44.68,95.74,0
DL-08-ES-2332,2020-08-10,2020,Delhi,Delhi West (DL-08),3W,Tempo,TVS,CNG,BS6,225.0,4,4,89.47,94.74,0
CH-01-FS-2349,2023-07-04,2023,Chandigarh,Chandigarh (CH-01),4W,SUV,Mahindra,Petrol,BS6,1968.0,5,1,12.5,83.33,0
RJ-19-GS-2366,2022-09-14,2022,Rajasthan,Jodhpur (RJ-19),4W,MUV,Mahindra,Petrol,BS6,1598.0,7,2,26.0,89.0,0
PB-11-HS-2383,2023-10-19,2023,Punjab,Patiala (PB-11),LCV,Mini Truck,Force Motors,Diesel,BS6,2523.0,2,1,22.22,88.89,0
TS-05-IS-2400,2022-01-12,2022,Telangana,Nizamabad (TS-05),2W,Scooter,Bajaj,Petrol,BS6,150.0,2,2,40.8,92.8,0
GJ-06-JS-2417,2024-09-30,2024,Gujarat,Vadodara (GJ-06),2W,Scooter,Honda,Petrol,BS6,160.0,2,0,41.43,92.86,0
DL-09-KS-2434,2018-02-26,2018,Delhi,Delhi South (DL-09),HCV,Trailer,BharatBenz,Diesel,BS4,5660.0,2,6,0.0,68.75,0
GJ-01-LS-2451,2021-02-01,2021,Gujarat,Ahmedabad (GJ-01),2W,Motorcycle,Royal Enfield,Petrol,BS6,125.0,2,3,41.43,92.86,0
DL-09-MS-2468,2022-11-09,2022,Delhi,Delhi South (DL-09),4W,SUV,Maruti Suzuki,Petrol,BS6,800.0,7,2,22.58,88.17,0
KA-19-NS-2485,2024-01-22,2024,Karnataka,Mangalore (KA-19),4W,Hatchback,Renault,Diesel,BS6,1000.0,5,0,25.89,89.29,0
WB-39-OS-2502,2021-01-11,2021,West Bengal,Asansol (WB-39),2W,Scooter,Suzuki,EV,Not Applicable,0.0,2,3,39.16,92.31,0
MH-12-PS-2519,2022-07-13,2022,Maharashtra,Pune (MH-12),4W,MUV,Maruti Suzuki,CNG,BS6,1197.0,7,2,28.89,91.11,0
KL-08-QS-2536,2024-06-29,2024,Kerala,Thrissur (KL-08),4W,SUV,MG,Petrol,BS6,1462.0,5,0,24.55,90.0,0
UP-32-RS-2553,2022-10-01,2022,Uttar Pradesh,Lucknow (UP-32),2W,Motorcycle,Ola Electric,EV,Not Applicable,0.0,2,2,47.06,91.91,0
MH-01-SS-2570,2018-04-03,2018,Maharashtra,Mumbai Central (MH-01),LCV,Mini Truck,Tata Motors,Diesel,BS4,3298.0,2,6,22.58,90.32,0
RJ-20-TS-2587,2022-12-03,2022,Rajasthan,Kota (RJ-20),4W,SUV,Kia,Petrol,BS6,1000.0,5,2,26.0,89.0,0
KA-25-US-2604,2023-04-24,2023,Karnataka,Hubli (KA-25),HCV,Bus,BharatBenz,Diesel,BS6,6700.0,32,1,0.0,96.15,0
RJ-01-VS-2621,2024-12-23,2024,Rajasthan,Ajmer (RJ-01),2W,Moped,Bajaj,EV,Not Applicable,0.0,2,0,48.41,92.86,0
TS-09-WS-2638,2021-03-12,2021,Telangana,Hyderabad (TS-09),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,3,40.8,92.8,0
DL-08-XS-2655,2023-01-19,2023,Delhi,Delhi West (DL-08),4W,Sedan,Hyundai,Diesel,BS6,1462.0,5,1,22.58,88.17,0
MP-20-YS-2672,2021-07-16,2021,Madhya Pradesh,Jabalpur (MP-20),HCV,Truck,BharatBenz,Diesel,BS6,5660.0,2,3,4.76,85.71,0
MH-31-ZS-2689,2024-08-15,2024,Maharashtra,Nagpur (MH-31),LCV,Pickup Van,Force Motors,Diesel,BS6,2523.0,2,0,22.58,90.32,0
DL-04-AT-2706,2023-10-05,2023,Delhi,Delhi North (DL-04),2W,Scooter,Ather,EV,Not Applicable,0.0,2,1,39.39,90.3,0
MH-20-BT-2723,2022-01-15,2022,Maharashtra,Aurangabad (MH-20),4W,SUV,Kia,Hybrid,BS6,1598.0,7,2,28.89,91.11,0
UP-32-CT-2740,2022-10-18,2022,Uttar Pradesh,Lucknow (UP-32),4W,MUV,Kia,Diesel,BS6,1480.0,7,2,19.75,88.89,0
TN-30-DT-2757,2021-05-21,2021,Tamil Nadu,Salem (TN-30),3W,Auto Rickshaw,Piaggio,CNG,BS6,200.0,4,3,82.14,96.43,0
TS-05-ET-2774,2021-12-04,2021,Telangana,Nizamabad (TS-05),2W,Scooter,Hero,EV,Not Applicable,0.0,2,3,40.8,92.8,0
MP-13-FT-2791,2021-04-02,2021,Madhya Pradesh,Ujjain (MP-13),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,3,40.43,85.11,0
WB-01-GT-2808,2022-04-22,2022,West Bengal,Kolkata (WB-01),2W,Scooter,Hero,Petrol,BS6,250.0,2,2,39.16,92.31,0
MH-20-HT-2825,2021-08-14,2021,Maharashtra,Aurangabad (MH-20),HCV,Trailer,Eicher,Diesel,BS6,4998.0,2,3,0.0,84.62,0
GJ-06-IT-2842,2020-12-01,2020,Gujarat,Vadodara (GJ-06),LCV,Mini Truck,Mahindra,CNG,BS6,2523.0,2,4,53.33,73.33,0
KA-01-JT-2859,2021-04-27,2021,Karnataka,Bangalore Central (KA-01),2W,Motorcycle,KTM,EV,Not Applicable,0.0,2,3,49.39,91.46,0
KL-11-KT-2876,2023-05-01,2023,Kerala,Kozhikode (KL-11),OTH,Tractor,John Deere,Diesel,BS6,5660.0,2,1,0.0,62.5,0
KA-22-LT-2893,2020-07-09,2020,Karnataka,Belgaum (KA-22),2W,Scooter,Honda,Petrol,BS6,92.3,2,4,49.39,91.46,0
KA-19-MT-2910,2022-06-21,2022,Karnataka,Mangalore (KA-19),LCV,Mini Truck,Tata Motors,Diesel,BS6,2956.0,2,2,26.92,88.46,0
RJ-27-NT-2927,2020-05-28,2020,Rajasthan,Udaipur (RJ-27),HCV,Trailer,Eicher,Diesel,BS6,4998.0,2,4,6.67,86.67,0
MH-01-OT-2944,2023-10-25,2023,Maharashtra,Mumbai Central (MH-01),4W,SUV,Renault,EV,Not Applicable,0.0,7,1,28.89,91.11,0
UP-70-PT-2961,2023-02-10,2023,Uttar Pradesh,Allahabad (UP-70),2W,Moped,TVS,Petrol,BS6,89.2,2,1,47.06,91.91,0
DL-09-QT-2978,2023-03-04,2023,Delhi,Delhi South (DL-09),3W,Tempo,Kinetic Green,EV,Not Applicable,0.0,4,1,89.47,94.74,0
WB-39-RT-2995,2023-05-05,2023,West Bengal,Asansol (WB-39),3W,E-Rickshaw,TVS,EV,Not Applicable,0.0,4,1,85.0,100.0,0
RJ-19-ST-3012,2020-07-28,2020,Rajasthan,Jodhpur (RJ-19),3W,Tempo,Bajaj,EV,Not Applicable,0.0,4,4,85.19,100.0,0
RJ-01-TT-3029,2022-08-03,2022,Rajasthan,Ajmer (RJ-01),3W,E-Rickshaw,Kinetic Green,EV,Not Applicable,0.0,4,2,85.19,100.0,0
TN-45-UT-3046,2022-05-27,2022,Tamil Nadu,Trichy (TN-45),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,2,44.68,95.74,0
RJ-14-VT-3063,2022-04-12,2022,Rajasthan,Jaipur (RJ-14),2W,Scooter,Ather,EV,Not Applicable,0.0,2,2,48.41,92.86,0
WB-01-WT-3080,2022-02-21,2022,West Bengal,Kolkata (WB-01),2W,Motorcycle,Royal Enfield,Petrol,BS6,125.0,2,2,39.16,92.31,0
MH-15-XT-3097,2022-07-18,2022,Maharashtra,Nashik (MH-15),2W,Motorcycle,Honda,Petrol,BS6,250.0,2,2,50.93,95.37,0
RJ-19-YT-3114,2021-06-22,2021,Rajasthan,Jodhpur (RJ-19),2W,Moped,Bajaj,Petrol,BS6,89.7,2,3,48.41,92.86,0
PB-11-ZT-3131,2023-08-18,2023,Punjab,Patiala (PB-11),2W,Moped,Hero,Petrol,BS6,96.1,2,1,41.51,90.57,0
MP-20-AU-3148,2022-04-04,2022,Madhya Pradesh,Jabalpur (MP-20),4W,MUV,Kia,Hybrid,BS6,1462.0,5,2,28.28,85.86,0
TN-01-BU-3165,2021-09-18,2021,Tamil Nadu,Chennai Central (TN-01),4W,SUV,MG,Diesel,BS6,1498.0,5,3,26.26,91.92,0
DL-08-CU-3182,2024-09-17,2024,Delhi,Delhi West (DL-08),3W,Auto Rickshaw,Atul Auto,EV,Not Applicable,0.0,4,0,89.47,94.74,0
RJ-27-DU-3199,2023-04-18,2023,Rajasthan,Udaipur (RJ-27),2W,Motorcycle,TVS,Petrol,BS6,250.0,2,1,48.41,92.86,0
TS-05-EU-3216,2021-05-28,2021,Telangana,Nizamabad (TS-05),4W,SUV,Hyundai,Diesel,BS6,1498.0,7,3,25.47,92.45,0
WB-13-FU-3233,2023-12-08,2023,West Bengal,Howrah (WB-13),LCV,Pickup Van,Ashok Leyland,CNG,BS6,3298.0,2,1,39.13,86.96,0
KA-09-GU-3250,2024-10-02,2024,Karnataka,Mysore (KA-09),4W,Sedan,Maruti Suzuki,CNG,BS6,1462.0,5,0,25.89,89.29,0
WB-01-HU-3267,2023-03-06,2023,West Bengal,Kolkata (WB-01),2W,Scooter,Ola Electric,EV,Not Applicable,0.0,2,1,39.16,92.31,0
GJ-01-IU-3284,2022-03-12,2022,Gujarat,Ahmedabad (GJ-01),4W,SUV,MG,Diesel,BS6,1498.0,5,2,35.37,95.12,0
RJ-14-JU-3301,2020-05-21,2020,Rajasthan,Jaipur (RJ-14),4W,Sedan,Hyundai,Diesel,BS6,2179.0,5,4,26.0,89.0,0
KL-11-KU-3318,2024-06-11,2024,Kerala,Kozhikode (KL-11),LCV,Mini Truck,Force Motors,Diesel,BS6,2956.0,2,0,32.35,94.12,0
MP-04-LU-3335,2022-12-12,2022,Madhya Pradesh,Bhopal (MP-04),HCV,Truck,Ashok Leyland,Diesel,BS6,4998.0,2,2,4.76,85.71,0
WB-13-MU-3352,2021-11-22,2021,West Bengal,Howrah (WB-13),3W,Auto Rickshaw,Kinetic Green,EV,Not Applicable,0.0,4,3,85.0,100.0,0
KL-07-NU-3369,2022-04-02,2022,Kerala,Kochi (KL-07),2W,Motorcycle,KTM,EV,Not Applicable,0.0,2,2,44.63,96.69,0
UP-80-OU-3386,2022-06-03,2022,Uttar Pradesh,Agra (UP-80),4W,Sedan,Toyota,Diesel,BS6,1462.0,5,2,19.75,88.89,0
MP-20-PU-3403,2021-06-01,2021,Madhya Pradesh,Jabalpur (MP-20),3W,Tempo,Mahindra,EV,Not Applicable,0.0,4,3,79.31,89.66,0
KA-25-QU-3420,2023-04-01,2023,Karnataka,Hubli (KA-25),2W,Scooter,Yamaha,Petrol,BS6,113.3,2,1,49.39,91.46,0
RJ-14-RU-3437,2024-11-04,2024,Rajasthan,Jaipur (RJ-14),2W,Scooter,TVS,Petrol,BS6,250.0,2,0,48.41,92.86,0
MP-09-SU-3454,2024-02-01,2024,Madhya Pradesh,Indore (MP-09),2W,Scooter,Ather,EV,Not Applicable,0.0,2,0,40.43,85.11,0
RJ-20-TU-3471,2022-01-28,2022,Rajasthan,Kota (RJ-20),4W,MUV,Honda,Diesel,BS6,1498.0,7,2,26.0,89.0,0
