Registration_Number,Registration_Date,Registration_Year,State,RTO_Office,Vehicle_Category,Vehicle_Sub_Type,Manufacturer_Brand,Fuel_Type,Emission_Norm,Engine_CC,Seating_Capacity,Vehicle_Age_Years,is_clean,is_compliant,CFAR,FMI
REG100844,16-05-2022,2022,Karnataka,Hubli (KA-25),4W,MUV,Skoda,CNG,BS6,2179.0,8,2,True,True,43.333333333333336,96.66666666666667
REG100845,31-12-2022,2022,West Bengal,Siliguri (WB-73),4W,MUV,Tata Motors,Petrol,BS6,2179.0,6,2,False,True,35.714285714285715,98.21428571428571
REG100846,22-03-2022,2022,Kerala,Kollam (KL-02),LCV,Mini Truck,Mahindra,Diesel,BS6,3298.0,9,2,False,True,32.608695652173914,100.0
REG100847,02-03-2018,2018,Punjab,Jalandhar (PB-08),2W,Scooter,Ola Electric,Petrol,BS4,200.0,2,6,False,False,18.181818181818183,0.0
REG100848,03-08-2020,2020,Gujarat,Vadodara (GJ-06),2W,Scooter,Hero,Petrol,BS6,100.0,2,4,False,True,33.33333333333333,81.81818181818183
REG100849,04-02-2019,2019,Gujarat,Vadodara (GJ-06),2W,Moped,KTM,Petrol,BS4,100.0,2,5,False,False,55.00000000000001,0.0
REG100850,07-11-2022,2022,Uttar Pradesh,Varanasi (UP-65),4W,MUV,Toyota,Diesel,BS6,1197.0,6,2,False,True,42.592592592592595,96.29629629629629
REG100851,07-12-2021,2021,Telangana,Karimnagar (TS-01),4W,MUV,Tata Motors,Hybrid,BS6,1968.0,8,3,True,True,38.70967741935484,93.54838709677419
REG100852,26-03-2021,2021,Delhi,Delhi North (DL-04),2W,Motorcycle,KTM,CNG,BS6,100.0,2,3,True,True,44.11764705882353,94.11764705882352
REG100853,04-10-2020,2020,Punjab,Amritsar (PB-02),4W,Hatchback,Renault,Petrol,BS6,800.0,5,4,False,True,29.03225806451613,87.09677419354838
REG100854,15-04-2024,2024,West Bengal,Asansol (WB-39),LCV,Mini Truck,Eicher,Diesel,BS6,2956.0,9,0,False,True,27.027027027027028,100.0
REG100855,09-09-2021,2021,Punjab,Jalandhar (PB-08),2W,Moped,Ola Electric,Petrol,BS6,100.0,2,3,False,True,38.46153846153847,100.0
REG100856,28-02-2021,2021,Rajasthan,Udaipur (RJ-27),2W,Motorcycle,Ather,Petrol,BS6,110.0,2,3,False,True,42.857142857142854,95.23809523809523
REG100857,28-07-2019,2019,Telangana,Warangal (TS-03),2W,Motorcycle,Royal Enfield,Hybrid,BS4,125.0,2,5,True,False,26.666666666666668,6.666666666666667
REG100858,20-02-2018,2018,Maharashtra,Aurangabad (MH-20),HCV,Bus,Tata Motors,CNG,BS4,5660.0,32,6,True,False,44.44444444444444,0.0
REG100859,27-10-2020,2020,Uttar Pradesh,Agra (UP-80),2W,Motorcycle,Hero,Petrol,BS6,150.0,2,4,False,True,35.714285714285715,78.57142857142857
REG100860,11-10-2019,2019,West Bengal,Asansol (WB-39),4W,MUV,Hyundai,Petrol,BS4,1968.0,5,5,False,False,42.10526315789473,10.526315789473683
REG100861,12-12-2022,2022,West Bengal,Kolkata (WB-01),2W,Motorcycle,Hero,Petrol,BS6,110.0,2,2,False,True,35.714285714285715,98.21428571428571
REG100862,22-11-2021,2021,Delhi,Delhi South (DL-09),4W,Sedan,Kia,CNG,BS6,1498.0,5,3,True,True,44.11764705882353,94.11764705882352
REG100863,19-08-2024,2024,Tamil Nadu,Madurai (TN-58),4W,Sedan,Mahindra,Diesel,BS6,800.0,5,0,False,True,38.88888888888889,100.0
REG100864,19-05-2024,2024,West Bengal,Asansol (WB-39),2W,Motorcycle,Hero,Petrol,BS6,150.0,2,0,False,True,27.027027027027028,100.0
REG100865,24-01-2024,2024,Gujarat,Rajkot (GJ-03),OTH,Road Roller,TAFE,Diesel,BS6,4998.0,2,0,False,True,35.294117647058826,100.0
REG100866,10-08-2023,2023,Punjab,Chandigarh (CH-01),2W,Scooter,Honda,Petrol,BS6,150.0,2,1,False,True,33.33333333333333,100.0
REG100867,29-12-2023,2023,Punjab,Patiala (PB-11),HCV,Trailer,MAN,Diesel,BS6,6700.0,2,1,False,True,33.33333333333333,100.0
REG100868,10-03-2018,2018,Delhi,Delhi West (DL-08),2W,Scooter,Ola Electric,Petrol,BS4,100.0,2,6,False,False,17.647058823529413,0.0
REG100869,27-12-2022,2022,Punjab,Jalandhar (PB-08),2W,Motorcycle,TVS,Petrol,BS6,350.0,2,2,False,True,39.21568627450981,98.0392156862745
REG100870,16-08-2018,2018,Uttar Pradesh,Allahabad (UP-70),2W,Moped,Honda,EV,BS4,0.0,2,6,True,False,37.5,0.0
REG100871,05-01-2023,2023,Rajasthan,Udaipur (RJ-27),4W,SUV,Honda,Petrol,BS6,1000.0,8,1,False,True,32.83582089552239,100.0
REG100872,03-07-2021,2021,Rajasthan,Jodhpur (RJ-19),2W,Motorcycle,Hero,Hybrid,BS6,150.0,2,3,True,True,42.857142857142854,95.23809523809523
REG100873,23-05-2024,2024,Karnataka,Belgaum (KA-22),4W,Sedan,Mahindra,Diesel,BS6,2179.0,5,0,False,True,41.29032258064516,100.0
REG100874,13-09-2024,2024,Maharashtra,Pune (MH-12),OTH,Road Roller,Sonalika,Diesel,BS6,6700.0,2,0,False,True,45.714285714285715,100.0
REG100875,07-03-2019,2019,Telangana,Warangal (TS-03),4W,Sedan,Hyundai,CNG,BS4,1498.0,5,5,True,False,26.666666666666668,6.666666666666667
REG100876,10-05-2023,2023,Telangana,Nizamabad (TS-05),2W,Moped,Hero,CNG,BS6,400.0,2,1,True,True,32.25806451612903,98.38709677419355
REG100877,20-05-2024,2024,West Bengal,Kolkata (WB-01),HCV,Truck,Volvo,Diesel,BS6,3760.0,2,0,False,True,27.027027027027028,100.0
REG100878,30-09-2021,2021,West Bengal,Siliguri (WB-73),2W,Motorcycle,Bajaj,Petrol,BS6,350.0,2,3,False,True,39.130434782608695,95.65217391304348
REG100879,26-04-2023,2023,Rajasthan,Jaipur (RJ-14),2W,Scooter,Honda,EV,BS6,0.0,2,1,True,True,32.83582089552239,100.0
REG100880,15-01-2023,2023,Karnataka,Mysore (KA-09),2W,Scooter,Royal Enfield,Petrol,BS6,350.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100881,24-06-2019,2019,Uttar Pradesh,Lucknow (UP-32),4W,SUV,Kia,Petrol,BS4,800.0,7,5,False,False,27.27272727272727,0.0
REG100882,13-02-2022,2022,Telangana,Warangal (TS-03),HCV,Tanker,Tata Motors,Diesel,BS6,3760.0,2,2,False,True,37.5,97.91666666666666
REG100883,29-01-2019,2019,Uttar Pradesh,Agra (UP-80),LCV,Light Bus,Tata Motors,Diesel,BS4,3298.0,15,5,False,False,27.27272727272727,0.0
REG100884,25-07-2018,2018,Madhya Pradesh,Jabalpur (MP-20),2W,Moped,Hero,EV,BS4,0.0,2,6,True,False,34.78260869565217,0.0
REG100885,08-08-2022,2022,Punjab,Jalandhar (PB-08),2W,Moped,Ola Electric,Petrol,BS6,160.0,2,2,False,True,39.21568627450981,98.0392156862745
REG100886,09-04-2022,2022,Punjab,Chandigarh (CH-01),2W,Moped,Hero,EV,BS6,0.0,2,2,True,True,39.21568627450981,98.0392156862745
REG100887,22-11-2024,2024,Karnataka,Bangalore Central (KA-01),4W,Hatchback,Skoda,Petrol,BS6,1498.0,5,0,False,True,41.29032258064516,100.0
REG100888,31-01-2020,2020,Rajasthan,Udaipur (RJ-27),3W,Tempo,Mahindra,CNG,BS6,225.0,6,4,True,True,52.0,84.0
REG100889,16-03-2022,2022,Punjab,Jalandhar (PB-08),3W,Tempo,TVS,CNG,BS6,225.0,6,2,True,True,39.21568627450981,98.0392156862745
REG100890,16-03-2022,2022,Gujarat,Gandhinagar (GJ-18),2W,Scooter,Hero,EV,BS6,0.0,2,2,True,True,50.0,95.65217391304348
REG100891,23-11-2020,2020,Delhi,Delhi South (DL-09),4W,Hatchback,Honda,Diesel,BS6,1462.0,5,4,False,True,38.23529411764706,85.29411764705883
REG100892,17-10-2021,2021,Rajasthan,Jodhpur (RJ-19),4W,MUV,Skoda,EV,BS6,0.0,7,3,True,True,42.857142857142854,95.23809523809523
REG100893,23-11-2020,2020,Uttar Pradesh,Agra (UP-80),2W,Scooter,Hero,EV,BS6,0.0,2,4,True,True,35.714285714285715,78.57142857142857
REG100894,12-07-2023,2023,Kerala,Kochi (KL-07),3W,Auto Rickshaw,Piaggio,Diesel,BS6,225.0,6,1,False,True,30.508474576271187,96.61016949152543
REG100895,29-05-2022,2022,Tamil Nadu,Chennai Central (TN-01),2W,Motorcycle,Yamaha,Petrol,BS6,350.0,2,2,False,True,48.148148148148145,96.29629629629629
REG100896,30-03-2020,2020,Delhi,Delhi South (DL-09),HCV,Trailer,Tata Motors,Diesel,BS6,4998.0,2,4,False,True,38.23529411764706,85.29411764705883
REG100897,14-05-2020,2020,Kerala,Kochi (KL-07),2W,Moped,Bajaj,Petrol,BS6,110.0,2,4,False,True,37.5,87.5
REG100898,09-07-2021,2021,Maharashtra,Pune (MH-12),2W,Motorcycle,Yamaha,Petrol,BS6,200.0,2,3,False,True,44.73684210526316,100.0
REG100899,08-04-2019,2019,Madhya Pradesh,Indore (MP-09),HCV,Tanker,MAN,Diesel,BS4,4998.0,2,5,False,False,44.44444444444444,7.4074074074074066
REG100900,07-04-2023,2023,Uttar Pradesh,Agra (UP-80),2W,Scooter,Bajaj,Petrol,BS6,400.0,2,1,False,True,26.666666666666668,100.0
REG100901,07-09-2024,2024,Gujarat,Surat (GJ-05),2W,Motorcycle,Royal Enfield,Petrol,BS6,150.0,2,0,False,True,35.294117647058826,100.0
REG100902,18-09-2021,2021,Kerala,Thiruvananthapuram (KL-01),4W,Hatchback,Tata Motors,Diesel,BS6,1598.0,5,3,False,True,37.254901960784316,94.11764705882352
REG100903,11-09-2023,2023,Telangana,Karimnagar (TS-01),2W,Moped,Yamaha,EV,BS6,0.0,2,1,True,True,32.25806451612903,98.38709677419355
REG100904,19-08-2020,2020,Gujarat,Gandhinagar (GJ-18),2W,Moped,Hero,Petrol,BS6,150.0,2,4,False,True,33.33333333333333,81.81818181818183
REG100905,10-05-2024,2024,Uttar Pradesh,Kanpur (UP-78),2W,Scooter,Ola Electric,Petrol,BS6,400.0,2,0,False,True,27.77777777777778,100.0
REG100906,22-01-2021,2021,Karnataka,Mysore (KA-09),4W,SUV,MG,Diesel,BS6,2179.0,7,3,False,True,32.88590604026846,94.63087248322147
REG100907,13-01-2021,2021,Uttar Pradesh,Varanasi (UP-65),3W,E-Rickshaw,TVS,Diesel,BS6,225.0,3,3,False,True,30.76923076923077,94.87179487179486
REG100908,06-10-2024,2024,Delhi,Delhi West (DL-08),4W,SUV,Hyundai,Petrol,BS6,1000.0,7,0,False,True,41.02564102564102,100.0
REG100909,11-12-2020,2020,Delhi,Delhi Central (DL-01),2W,Scooter,Hero,EV,BS6,0.0,2,4,True,True,38.23529411764706,85.29411764705883
REG100910,06-10-2022,2022,Gujarat,Vadodara (GJ-06),4W,SUV,Mahindra,EV,BS6,0.0,5,2,True,True,50.0,95.65217391304348
REG100911,30-08-2023,2023,Gujarat,Vadodara (GJ-06),4W,MUV,Honda,CNG,BS6,1498.0,6,1,True,True,36.84210526315789,100.0
REG100912,09-10-2020,2020,Uttar Pradesh,Kanpur (UP-78),2W,Moped,Bajaj,EV,BS6,0.0,2,4,True,True,35.714285714285715,78.57142857142857
REG100913,02-08-2022,2022,Kerala,Thrissur (KL-08),2W,Motorcycle,Yamaha,Petrol,BS6,150.0,2,2,False,True,32.608695652173914,100.0
REG100914,06-06-2022,2022,West Bengal,Siliguri (WB-73),LCV,Mini Truck,Ashok Leyland,Diesel,BS6,2523.0,9,2,False,True,35.714285714285715,98.21428571428571
REG100915,20-12-2023,2023,Madhya Pradesh,Gwalior (MP-07),2W,Scooter,Suzuki,CNG,BS6,400.0,2,1,True,True,36.36363636363637,96.36363636363636
REG100916,17-10-2024,2024,Gujarat,Vadodara (GJ-06),4W,Hatchback,Tata Motors,Petrol,BS6,1968.0,5,0,False,True,35.294117647058826,100.0
REG100917,20-08-2019,2019,Delhi,Delhi North (DL-04),2W,Scooter,Bajaj,EV,BS4,0.0,2,5,True,False,17.647058823529413,11.76470588235294
REG100918,08-09-2023,2023,Karnataka,Mysore (KA-09),2W,Moped,TVS,Petrol,BS6,100.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100919,25-09-2020,2020,Tamil Nadu,Coimbatore (TN-37),2W,Scooter,Royal Enfield,Petrol,BS6,110.0,2,4,False,True,34.285714285714285,85.71428571428571
REG100920,19-07-2024,2024,West Bengal,Kolkata (WB-01),2W,Motorcycle,TVS,Petrol,BS6,125.0,2,0,False,True,27.027027027027028,100.0
REG100921,07-03-2024,2024,Karnataka,Mysore (KA-09),4W,MUV,Hyundai,Diesel,BS6,1462.0,7,0,False,True,41.29032258064516,100.0
REG100922,16-12-2020,2020,Uttar Pradesh,Varanasi (UP-65),2W,Moped,Royal Enfield,EV,BS4,0.0,2,4,True,False,35.714285714285715,78.57142857142857
REG100923,07-05-2023,2023,Gujarat,Surat (GJ-05),2W,Motorcycle,KTM,Petrol,BS6,400.0,2,1,False,True,36.84210526315789,100.0
REG100924,28-05-2018,2018,Rajasthan,Ajmer (RJ-01),LCV,Pickup Van,Force Motors,CNG,BS4,3298.0,9,6,True,False,54.54545454545454,0.0
REG100925,09-08-2020,2020,Kerala,Kozhikode (KL-11),2W,Motorcycle,Suzuki,Petrol,BS6,350.0,2,4,False,True,37.5,87.5
REG100926,21-03-2024,2024,Uttar Pradesh,Kanpur (UP-78),4W,Hatchback,Honda,EV,BS6,0.0,5,0,True,True,27.77777777777778,100.0
REG100927,03-03-2024,2024,Madhya Pradesh,Bhopal (MP-04),4W,Sedan,MG,Diesel,BS6,1598.0,5,0,False,True,48.837209302325576,100.0
REG100928,16-09-2020,2020,Karnataka,Belgaum (KA-22),4W,SUV,Honda,Diesel,BS6,800.0,8,4,False,True,37.5,83.33333333333334
REG100929,23-07-2023,2023,Maharashtra,Mumbai Central (MH-01),4W,MUV,Honda,Diesel,BS6,800.0,5,1,False,True,32.72727272727273,98.18181818181819
REG100930,25-08-2023,2023,Gujarat,Ahmedabad (GJ-01),4W,Sedan,Toyota,EV,BS6,0.0,5,1,True,True,36.84210526315789,100.0
REG100931,29-03-2023,2023,Telangana,Warangal (TS-03),4W,MUV,Tata Motors,Diesel,BS6,800.0,5,1,False,True,32.25806451612903,98.38709677419355
REG100932,06-01-2019,2019,Tamil Nadu,Madurai (TN-58),2W,Moped,Suzuki,Petrol,BS6,160.0,2,5,False,True,31.818181818181817,9.090909090909092
REG100933,23-12-2022,2022,Tamil Nadu,Salem (TN-30),2W,Motorcycle,Hero,CNG,BS6,100.0,2,2,True,True,48.148148148148145,96.29629629629629
REG100934,03-11-2021,2021,Madhya Pradesh,Ujjain (MP-13),4W,Hatchback,Honda,EV,BS6,0.0,5,3,True,True,44.89795918367347,95.91836734693877
REG100935,15-01-2019,2019,Uttar Pradesh,Kanpur (UP-78),HCV,Trailer,Ashok Leyland,Diesel,BS4,3760.0,2,5,False,False,27.27272727272727,0.0
REG100936,19-09-2020,2020,Delhi,Delhi Central (DL-01),2W,Motorcycle,TVS,CNG,BS6,110.0,2,4,True,True,38.23529411764706,85.29411764705883
REG100937,07-08-2024,2024,Rajasthan,Kota (RJ-20),4W,Sedan,Skoda,Petrol,BS6,1000.0,5,0,False,True,41.02564102564102,100.0
REG100938,19-07-2023,2023,Delhi,Delhi Central (DL-01),2W,Motorcycle,Hero,Petrol,BS6,150.0,2,1,False,True,36.666666666666664,98.33333333333333
REG100939,30-07-2018,2018,West Bengal,Howrah (WB-13),2W,Scooter,Ola Electric,Petrol,BS4,160.0,2,6,False,False,50.0,0.0
REG100940,03-11-2020,2020,Punjab,Jalandhar (PB-08),OTH,Tractor,Escorts,Diesel,BS6,5660.0,1,4,False,True,29.03225806451613,87.09677419354838
REG100941,10-01-2022,2022,Madhya Pradesh,Indore (MP-09),2W,Moped,Yamaha,CNG,BS6,160.0,2,2,True,True,39.53488372093023,100.0
REG100942,30-04-2022,2022,Punjab,Jalandhar (PB-08),2W,Moped,Bajaj,EV,BS6,0.0,2,2,True,True,39.21568627450981,98.0392156862745
REG100943,31-01-2020,2020,Punjab,Chandigarh (CH-01),2W,Moped,Suzuki,Hybrid,BS6,125.0,2,4,True,True,29.03225806451613,87.09677419354838
REG100944,03-11-2023,2023,Rajasthan,Udaipur (RJ-27),2W,Motorcycle,Suzuki,Petrol,BS6,350.0,2,1,False,True,32.83582089552239,100.0
REG100945,28-11-2023,2023,Kerala,Kozhikode (KL-11),2W,Scooter,Hero,EV,BS6,0.0,2,1,True,True,30.508474576271187,96.61016949152543
REG100946,06-12-2020,2020,Maharashtra,Pune (MH-12),LCV,Pickup Van,Ashok Leyland,Diesel,BS6,2956.0,9,4,False,True,34.61538461538461,84.61538461538461
REG100947,04-01-2020,2020,Kerala,Kochi (KL-07),4W,MUV,Renault,Diesel,BS6,1000.0,8,4,False,True,37.5,87.5
REG100948,09-10-2019,2019,Karnataka,Mysore (KA-09),2W,Motorcycle,Bajaj,Petrol,BS4,150.0,2,5,False,False,31.32530120481928,9.63855421686747
REG100949,05-05-2020,2020,Delhi,Delhi South (DL-09),2W,Moped,KTM,Petrol,BS6,250.0,2,4,False,True,38.23529411764706,85.29411764705883
REG100950,19-05-2024,2024,Tamil Nadu,Trichy (TN-45),2W,Scooter,Ola Electric,EV,BS6,0.0,2,0,True,True,38.88888888888889,100.0
REG100951,10-08-2022,2022,Karnataka,Hubli (KA-25),2W,Motorcycle,KTM,EV,BS6,0.0,2,2,True,True,43.333333333333336,96.66666666666667
REG100952,31-10-2024,2024,West Bengal,Kolkata (WB-01),4W,MUV,Hyundai,Hybrid,BS6,1462.0,6,0,True,True,27.027027027027028,100.0
REG100953,07-11-2021,2021,Telangana,Warangal (TS-03),2W,Scooter,Royal Enfield,EV,BS6,0.0,2,3,True,True,38.70967741935484,93.54838709677419
REG100954,07-01-2024,2024,Karnataka,Hubli (KA-25),2W,Scooter,Bajaj,Petrol,BS6,400.0,2,0,False,True,41.29032258064516,100.0
REG100955,07-06-2021,2021,Kerala,Kozhikode (KL-11),3W,E-Rickshaw,Mahindra,Petrol,BS6,200.0,3,3,False,True,37.254901960784316,94.11764705882352
REG100956,28-06-2023,2023,Maharashtra,Mumbai Central (MH-01),2W,Moped,TVS,Petrol,BS6,400.0,2,1,False,True,32.72727272727273,98.18181818181819
REG100957,07-05-2021,2021,Kerala,Thrissur (KL-08),4W,SUV,Maruti Suzuki,EV,BS6,0.0,8,3,True,True,37.254901960784316,94.11764705882352
REG100958,17-03-2022,2022,Maharashtra,Nagpur (MH-31),4W,Hatchback,Tata Motors,Petrol,BS6,1498.0,5,2,False,True,41.86046511627907,97.67441860465115
REG100959,31-12-2023,2023,Punjab,Patiala (PB-11),HCV,Bus,Tata Motors,Diesel,BS6,6700.0,45,1,False,True,33.33333333333333,100.0
REG100960,06-08-2024,2024,Kerala,Kollam (KL-02),OTH,Tractor,Escorts,Diesel,BS6,5660.0,1,0,False,True,36.17021276595745,100.0
REG100961,15-02-2023,2023,Telangana,Khammam (TS-07),4W,MUV,Skoda,Petrol,BS6,1000.0,7,1,False,True,32.25806451612903,98.38709677419355
REG100962,01-01-2024,2024,Tamil Nadu,Madurai (TN-58),4W,MUV,Kia,Petrol,BS6,1000.0,5,0,False,True,38.88888888888889,100.0
REG100963,11-07-2022,2022,Kerala,Thrissur (KL-08),3W,Tempo,TVS,Petrol,BS6,225.0,7,2,False,True,32.608695652173914,100.0
REG100964,06-04-2022,2022,Tamil Nadu,Coimbatore (TN-37),3W,Tempo,Bajaj,Diesel,BS6,225.0,3,2,False,True,48.148148148148145,96.29629629629629
REG100965,25-02-2022,2022,Kerala,Kochi (KL-07),4W,Sedan,Kia,Diesel,BS6,1197.0,5,2,False,True,32.608695652173914,100.0
REG100966,02-09-2018,2018,Gujarat,Ahmedabad (GJ-01),2W,Scooter,Honda,Petrol,BS4,350.0,2,6,False,False,41.66666666666667,0.0
REG100967,19-02-2022,2022,Madhya Pradesh,Bhopal (MP-04),2W,Scooter,Hero,CNG,BS6,150.0,2,2,True,True,39.53488372093023,100.0
REG100968,06-11-2022,2022,Telangana,Hyderabad (TS-09),2W,Moped,Royal Enfield,EV,BS6,0.0,2,2,True,True,37.5,97.91666666666666
REG100969,23-07-2024,2024,Rajasthan,Kota (RJ-20),4W,SUV,Toyota,Petrol,BS6,1968.0,5,0,False,True,41.02564102564102,100.0
REG100970,14-01-2021,2021,Rajasthan,Kota (RJ-20),4W,Hatchback,MG,EV,BS6,0.0,5,3,True,True,42.857142857142854,95.23809523809523
REG100971,02-01-2021,2021,Kerala,Kochi (KL-07),2W,Moped,KTM,EV,BS6,0.0,2,3,True,True,37.254901960784316,94.11764705882352
REG100972,06-09-2022,2022,Maharashtra,Nagpur (MH-31),LCV,Light Bus,Ashok Leyland,CNG,BS6,2956.0,15,2,True,True,41.86046511627907,97.67441860465115
REG100973,10-04-2021,2021,Punjab,Chandigarh (CH-01),2W,Scooter,Honda,CNG,BS6,125.0,2,3,True,True,38.46153846153847,100.0
REG100974,11-12-2023,2023,Telangana,Khammam (TS-07),4W,Hatchback,Tata Motors,Diesel,BS6,1498.0,5,1,False,True,32.25806451612903,98.38709677419355
REG100975,28-03-2020,2020,Tamil Nadu,Salem (TN-30),HCV,Tanker,MAN,Diesel,BS6,3760.0,2,4,False,True,34.285714285714285,85.71428571428571
REG100976,12-05-2021,2021,Uttar Pradesh,Lucknow (UP-32),2W,Scooter,Suzuki,Hybrid,BS6,350.0,2,3,True,True,30.76923076923077,94.87179487179486
REG100977,22-10-2021,2021,Madhya Pradesh,Bhopal (MP-04),4W,MUV,Hyundai,EV,BS6,0.0,7,3,True,True,44.89795918367347,95.91836734693877
REG100978,14-02-2020,2020,Uttar Pradesh,Varanasi (UP-65),4W,MUV,Mahindra,Petrol,BS6,1000.0,5,4,False,True,35.714285714285715,78.57142857142857
REG100979,14-07-2019,2019,Rajasthan,Ajmer (RJ-01),HCV,Truck,Eicher,Diesel,BS4,5660.0,2,5,False,False,23.809523809523807,14.285714285714285
REG100980,14-12-2021,2021,Gujarat,Ahmedabad (GJ-01),4W,Sedan,Honda,Diesel,BS6,1197.0,5,3,False,True,50.0,95.0
REG100981,23-04-2023,2023,Karnataka,Mangalore (KA-19),2W,Scooter,Yamaha,Petrol,BS6,350.0,2,1,False,True,37.17948717948718,99.14529914529915
REG100982,18-01-2023,2023,Madhya Pradesh,Jabalpur (MP-20),2W,Scooter,TVS,Hybrid,BS6,150.0,2,1,True,True,36.36363636363637,96.36363636363636
REG100983,20-10-2024,2024,Rajasthan,Kota (RJ-20),3W,Tempo,Bajaj,CNG,BS6,225.0,7,0,True,True,41.02564102564102,100.0
REG100984,17-04-2020,2020,Delhi,Delhi North (DL-04),2W,Scooter,Hero,Petrol,BS4,150.0,2,4,False,False,38.23529411764706,85.29411764705883
REG100985,23-03-2021,2021,Kerala,Thiruvananthapuram (KL-01),HCV,Bus,BharatBenz,CNG,BS6,3760.0,52,3,True,True,37.254901960784316,94.11764705882352
REG100986,28-09-2021,2021,Uttar Pradesh,Agra (UP-80),2W,Scooter,Yamaha,Hybrid,BS6,160.0,2,3,True,True,30.76923076923077,94.87179487179486
REG100987,28-01-2021,2021,Gujarat,Surat (GJ-05),4W,MUV,Hyundai,Petrol,BS6,1498.0,8,3,False,True,50.0,95.0
REG100988,21-04-2024,2024,Madhya Pradesh,Indore (MP-09),4W,MUV,MG,Petrol,BS6,1462.0,5,0,False,True,48.837209302325576,100.0
REG100989,29-01-2023,2023,Rajasthan,Ajmer (RJ-01),2W,Motorcycle,Suzuki,Petrol,BS6,110.0,2,1,False,True,32.83582089552239,100.0
REG100990,11-08-2023,2023,Rajasthan,Udaipur (RJ-27),2W,Motorcycle,Honda,EV,BS6,0.0,2,1,True,True,32.83582089552239,100.0
REG100991,02-11-2022,2022,Madhya Pradesh,Jabalpur (MP-20),2W,Motorcycle,Bajaj,Petrol,BS6,125.0,2,2,False,True,39.53488372093023,100.0
REG100992,01-12-2021,2021,Madhya Pradesh,Jabalpur (MP-20),4W,Hatchback,MG,EV,BS6,0.0,5,3,True,True,44.89795918367347,95.91836734693877
REG100993,26-04-2023,2023,Maharashtra,Mumbai Central (MH-01),2W,Motorcycle,KTM,EV,BS6,0.0,2,1,True,True,32.72727272727273,98.18181818181819
REG100994,03-04-2023,2023,Punjab,Patiala (PB-11),OTH,Crane,John Deere,Diesel,BS6,6700.0,1,1,False,True,33.33333333333333,100.0
REG100995,05-04-2019,2019,Madhya Pradesh,Jabalpur (MP-20),2W,Motorcycle,Honda,Petrol,BS4,250.0,2,5,False,False,44.44444444444444,7.4074074074074066
REG100996,03-10-2019,2019,Kerala,Thiruvananthapuram (KL-01),2W,Moped,Ather,EV,BS4,0.0,2,5,True,False,39.130434782608695,4.3478260869565215
REG100997,04-03-2022,2022,Delhi,Delhi Central (DL-01),2W,Moped,TVS,Petrol,BS6,100.0,2,2,False,True,28.57142857142857,100.0
REG100998,18-01-2020,2020,Tamil Nadu,Trichy (TN-45),2W,Motorcycle,Honda,EV,BS4,0.0,2,4,True,False,34.285714285714285,85.71428571428571
REG100999,01-01-2024,2024,Karnataka,Belgaum (KA-22),2W,Moped,TVS,Petrol,BS6,150.0,2,0,False,True,41.29032258064516,100.0
REG101000,09-09-2022,2022,Gujarat,Ahmedabad (GJ-01),HCV,Trailer,MAN,Diesel,BS6,5660.0,2,2,False,True,50.0,95.65217391304348
REG101001,19-01-2023,2023,Rajasthan,Ajmer (RJ-01),4W,Sedan,Hyundai,EV,BS6,0.0,5,1,True,True,32.83582089552239,100.0
REG101002,15-11-2021,2021,Gujarat,Surat (GJ-05),HCV,Bus,Eicher,Diesel,BS6,6700.0,32,3,False,True,50.0,95.0
REG101003,13-12-2022,2022,Telangana,Nizamabad (TS-05),2W,Moped,TVS,Petrol,BS6,250.0,2,2,False,True,37.5,97.91666666666666
REG101004,10-07-2023,2023,Kerala,Kochi (KL-07),4W,Hatchback,Kia,EV,BS6,0.0,5,1,True,True,30.508474576271187,96.61016949152543
REG101005,09-02-2024,2024,Uttar Pradesh,Kanpur (UP-78),2W,Scooter,Suzuki,Petrol,BS6,160.0,2,0,False,True,27.77777777777778,100.0
REG101006,05-07-2021,2021,Karnataka,Belgaum (KA-22),2W,Moped,Suzuki,Petrol,BS6,200.0,2,3,False,True,32.88590604026846,94.63087248322147
REG101007,13-07-2019,2019,Gujarat,Surat (GJ-05),LCV,Mini Truck,Ashok Leyland,Diesel,BS4,2523.0,9,5,False,False,55.00000000000001,0.0
REG101008,25-12-2019,2019,Tamil Nadu,Trichy (TN-45),4W,SUV,Skoda,Diesel,BS4,1498.0,7,5,False,False,31.818181818181817,9.090909090909092
REG101009,14-12-2021,2021,Punjab,Chandigarh (CH-01),LCV,Mini Truck,Ashok Leyland,EV,BS6,0.0,9,3,True,True,38.46153846153847,100.0
REG101010,14-03-2020,2020,Punjab,Ludhiana (PB-10),2W,Moped,Ather,CNG,BS6,250.0,2,4,True,True,29.03225806451613,87.09677419354838
REG101011,08-11-2023,2023,Punjab,Amritsar (PB-02),2W,Moped,Yamaha,CNG,BS6,250.0,2,1,True,True,33.33333333333333,100.0
REG101012,24-09-2021,2021,Kerala,Thrissur (KL-08),2W,Scooter,KTM,EV,BS6,0.0,2,3,True,True,37.254901960784316,94.11764705882352
REG101013,03-05-2023,2023,Gujarat,Ahmedabad (GJ-01),HCV,Tanker,Volvo,Diesel,BS6,3760.0,2,1,False,True,36.84210526315789,100.0
